System_name,Input,Algo,Real,TP,FP,FN,precision,recall
74181,00010000010011,"[['gate194', 'gate181', 'gate173', 'gate27']]","[['gate194', 'gate181', 'gate173', 'gate27']]",1,0,0,1.0,1.0
74181,00001001000010,[['gate194']],"[['gate194', 'gate191'], ['gate95', 'gate194']]",0,1,2,0.0,0.0
74181,11000001011011,"[['gate93', 'gate194']]","[['gate91', 'gate92', 'gate194']]",0,1,1,0.0,0.0
74181,00010100010001,"[['gate188', 'gate181', 'gate158'], ['gate92', 'gate90', 'gate181'], ['gate93', 'gate181', 'gate158'], ['gate92', 'gate181', 'gate185']]","[['gate188', 'gate181'], ['gate93', 'gate181']]",0,4,2,0.0,0.0
74181,11110000100010,"[['gate91', 'gate31'], ['gate95', 'gate91'], ['gate95', 'gate29'], ['gate31', 'gate29'], ['gate95', 'gate185'], ['gate29', 'gate191'], ['gate91', 'gate191'], ['gate31', 'gate185']]","[['gate91', 'gate31'], ['gate95', 'gate91'], ['gate95', 'gate29'], ['gate31', 'gate29'], ['gate95', 'gate185'], ['gate29', 'gate191'], ['gate91', 'gate191'], ['gate31', 'gate185']]",8,0,0,1.0,1.0
74181,10010111100000,"[['gate188', 'gate181', 'gate182', 'gate158'], ['gate93', 'gate181', 'gate182', 'gate158'], ['gate93', 'gate88', 'gate181', 'gate158'], ['gate88', 'gate188', 'gate181', 'gate158']]","[['gate194', 'gate188', 'gate181', 'gate182', 'gate158'], ['gate93', 'gate194', 'gate181', 'gate182', 'gate158'], ['gate93', 'gate88', 'gate194', 'gate181', 'gate158'], ['gate88', 'gate194', 'gate188', 'gate181', 'gate158']]",0,4,4,0.0,0.0
74181,00111111111101,"[['gate191', 'gate182', 'gate158'], ['gate182', 'gate158', 'gate27'], ['gate88', 'gate191', 'gate158'], ['gate88', 'gate158', 'gate27']]","[['gate188', 'gate182', 'gate158'], ['gate92', 'gate182', 'gate158'], ['gate92', 'gate88', 'gate158'], ['gate93', 'gate91', 'gate158'], ['gate93', 'gate90', 'gate158'], ['gate88', 'gate188', 'gate158']]",0,4,6,0.0,0.0
74181,01101111100010,"[['gate92', 'gate89'], ['gate92', 'gate182']]","[['gate181', 'gate27']]",0,2,1,0.0,0.0
74181,00010111010110,[['gate90']],"[['gate191', 'gate185'], ['gate94', 'gate90'], ['gate94', 'gate185'], ['gate95', 'gate185']]",0,1,4,0.0,0.0
74181,01000000011110,"[['gate95', 'gate92', 'gate89', 'gate181'], ['gate93', 'gate94', 'gate89', 'gate181'], ['gate92', 'gate28', 'gate191', 'gate181'], ['gate93', 'gate94', 'gate28', 'gate181'], ['gate94', 'gate28', 'gate188', 'gate181'], ['gate95', 'gate92', 'gate28', 'gate181'], ['gate92', 'gate89', 'gate191', 'gate181'], ['gate93', 'gate94', 'gate181', 'gate182'], ['gate94', 'gate92', 'gate89', 'gate181'], ['gate94', 'gate92', 'gate28', 'gate181'], ['gate94', 'gate89', 'gate188', 'gate181']]","[['gate93', 'gate94', 'gate181']]",0,11,1,0.0,0.0
74181,11110100001110,"[['gate93', 'gate194', 'gate181', 'gate158', 'gate173', 'gate27'], ['gate30', 'gate194', 'gate181', 'gate158', 'gate173', 'gate27'], ['gate91', 'gate92', 'gate89', 'gate194', 'gate181', 'gate158'], ['gate93', 'gate89', 'gate29', 'gate194', 'gate181', 'gate158'], ['gate92', 'gate89', 'gate90', 'gate194', 'gate181', 'gate158'], ['gate89', 'gate30', 'gate90', 'gate194', 'gate181', 'gate158'], ['gate92', 'gate89', 'gate29', 'gate194', 'gate181', 'gate158'], ['gate89', 'gate29', 'gate30', 'gate194', 'gate181', 'gate158'], ['gate91', 'gate89', 'gate194', 'gate188', 'gate181', 'gate158'], ['gate93', 'gate91', 'gate88', 'gate194', 'gate181', 'gate158'], ['gate89', 'gate29', 'gate194', 'gate188', 'gate181', 'gate158'], ['gate89', 'gate90', 'gate194', 'gate188', 'gate181', 'gate158'], ['gate93', 'gate89', 'gate90', 'gate194', 'gate181', 'gate158'], ['gate89', 'gate194', 'gate188', 'gate181', 'gate158', 'gate185'], ['gate93', 'gate29', 'gate28', 'gate194', 'gate181', 'gate158'], ['gate93', 'gate89', 'gate194', 'gate181', 'gate158', 'gate185'], ['gate88', 'gate29', 'gate194', 'gate188', 'gate181', 'gate158'], ['gate29', 'gate28', 'gate194', 'gate188', 'gate181', 'gate158'], ['gate91', 'gate28', 'gate194', 'gate188', 'gate181', 'gate158'], ['gate91', 'gate88', 'gate194', 'gate188', 'gate181', 'gate158'], ['gate93', 'gate88', 'gate29', 'gate194', 'gate181', 'gate158'], ['gate91', 'gate89', 'gate30', 'gate194', 'gate181', 'gate158'], ['gate93', 'gate88', 'gate194', 'gate181', 'gate158', 'gate185'], ['gate89', 'gate30', 'gate194', 'gate181', 'gate158', 'gate185'], ['gate92', 'gate89', 'gate194', 'gate181', 'gate158', 'gate185'], ['gate88', 'gate30', 'gate194', 'gate181', 'gate158', 'gate185'], ['gate93', 'gate91', 'gate89', 'gate194', 'gate181', 'gate158'], ['gate92', 'gate88', 'gate29', 'gate194', 'gate181', 'gate158'], ['gate93', 'gate91', 'gate28', 'gate194', 'gate181', 'gate158'], ['gate93', 'gate28', 'gate194', 'gate181', 'gate158', 'gate185'], ['gate91', 'gate88', 'gate30', 'gate194', 'gate181', 'gate158'], ['gate91', 'gate28', 'gate30', 'gate194', 'gate181', 'gate158'], ['gate29', 'gate28', 'gate30', 'gate194', 'gate181', 'gate158'], ['gate28', 'gate30', 'gate194', 'gate181', 'gate158', 'gate185'], ['gate92', 'gate29', 'gate28', 'gate194', 'gate181', 'gate158'], ['gate88', 'gate29', 'gate30', 'gate194', 'gate181', 'gate158'], ['gate91', 'gate92', 'gate28', 'gate194', 'gate181', 'gate158'], ['gate91', 'gate92', 'gate88', 'gate194', 'gate181', 'gate158']]","[['gate185', 'gate188', 'gate181', 'gate173', 'gate158'], ['gate93', 'gate88', 'gate181', 'gate158', 'gate27'], ['gate93', 'gate89', 'gate181', 'gate158', 'gate27'], ['gate91', 'gate188', 'gate181', 'gate158', 'gate173'], ['gate28', 'gate30', 'gate181', 'gate158', 'gate27'], ['gate93', 'gate181', 'gate158', 'gate173', 'gate185'], ['gate93', 'gate28', 'gate181', 'gate158', 'gate27'], ['gate88', 'gate30', 'gate181', 'gate158', 'gate27'], ['gate93', 'gate91', 'gate181', 'gate158', 'gate173'], ['gate89', 'gate30', 'gate181', 'gate158', 'gate27'], ['gate91', 'gate30', 'gate181', 'gate158', 'gate173'], ['gate29', 'gate30', 'gate181', 'gate158', 'gate173'], ['gate30', 'gate90', 'gate181', 'gate158', 'gate173'], ['gate95', 'gate94', 'gate88', 'gate181', 'gate27'], ['gate30', 'gate181', 'gate158', 'gate173', 'gate185'], ['gate93', 'gate29', 'gate181', 'gate158', 'gate173'], ['gate93', 'gate90', 'gate181', 'gate158', 'gate173'], ['gate90', 'gate188', 'gate181', 'gate158', 'gate173'], ['gate92', 'gate181', 'gate158', 'gate173', 'gate185'], ['gate95', 'gate94', 'gate28', 'gate181', 'gate27'], ['gate92', 'gate90', 'gate181', 'gate158', 'gate173'], ['gate92', 'gate29', 'gate181', 'gate158', 'gate173'], ['gate29', 'gate188', 'gate181', 'gate158', 'gate173'], ['gate91', 'gate92', 'gate181', 'gate158', 'gate173']]",0,38,24,0.0,0.0
