inputs,outputs,faulty_output_prob,regular_diagnoser_time,backward_diagnoser_time,best_prob_diagnoser_time,regular_diagnoser_output,backward_diagnoser_output,best_prob_diagnoser_output
"[0, 1, 1, 0, 0]","[0, 0]",0.11,0.00213623046875,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]"
"[0, 1, 1, 0, 0]","[0, 0]",0.09,0.00213623046875,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.33124), ([gate11], 0.33124)]"
"[0, 1, 1, 0, 0]","[0, 0]",0.07,0.00213623046875,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.34596), ([gate11], 0.34596)]"
"[0, 1, 1, 0, 0]","[0, 0]",0.05,0.00213623046875,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.361), ([gate11], 0.361)]"
"[0, 1, 1, 0, 0]","[0, 0]",0.03,0.00213623046875,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.37636), ([gate11], 0.37636)]"
"[0, 1, 1, 0, 0]","[0, 0]",0.01,0.00213623046875,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.39204), ([gate11], 0.39204)]"
"[0, 1, 0, 1, 1]","[1, 0]",0.11,0.0,0.0,0.0,"[([gate23], 0.31684)]","[([gate23], 0.31684)]","[([gate23], 0.31684)]"
"[0, 1, 0, 1, 1]","[1, 0]",0.09,0.0,0.0,0.0,"[([gate23], 0.31684)]","[([gate23], 0.31684)]","[([gate23], 0.33124)]"
"[0, 1, 0, 1, 1]","[1, 0]",0.07,0.0,0.0,0.0,"[([gate23], 0.31684)]","[([gate23], 0.31684)]","[([gate23], 0.34596)]"
"[0, 1, 0, 1, 1]","[1, 0]",0.05,0.0,0.0,0.0,"[([gate23], 0.31684)]","[([gate23], 0.31684)]","[([gate23], 0.361)]"
"[0, 1, 0, 1, 1]","[1, 0]",0.03,0.0,0.0,0.0,"[([gate23], 0.31684)]","[([gate23], 0.31684)]","[([gate23], 0.37636)]"
"[0, 1, 0, 1, 1]","[1, 0]",0.01,0.0,0.0,0.0,"[([gate23], 0.31684)]","[([gate23], 0.31684)]","[([gate23], 0.39204)]"
"[0, 1, 1, 0, 0]","[0, 1]",0.11,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.264033)]"
"[0, 1, 1, 0, 0]","[0, 1]",0.09,0.0,0.0,0.015627622604370117,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.276033)]"
"[0, 1, 1, 0, 0]","[0, 1]",0.07,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.2883)]"
"[0, 1, 1, 0, 0]","[0, 1]",0.05,0.0,0.0,0.0,"[([gate22], 0.264033)]","[([gate22], 0.264033)]","[([gate22], 0.300833)]"
