System_name,Input,Algo,Real,TP,FP,FN,precision,recall
c432,010110001001100000010011001110110111,"[['gate399', 'gate360', 'gate199'], ['gate430', 'gate421', 'gate199'], ['gate421', 'gate399', 'gate199']]","[['gate399', 'gate360', 'gate199'], ['gate430', 'gate421', 'gate199'], ['gate421', 'gate399', 'gate199']]",3,0,0,1.0,1.0
c432,011110111001000101000010010101001110,"[['gate431', 'gate329', 'gate223'], ['gate431', 'gate223', 'gate143'], ['gate431', 'gate296', 'gate223'], ['gate407', 'gate223', 'gate174'], ['gate430', 'gate329', 'gate199'], ['gate431', 'gate223', 'gate174'], ['gate407', 'gate223', 'gate143'], ['gate407', 'gate279', 'gate223'], ['gate407', 'gate243', 'gate223'], ['gate431', 'gate279', 'gate223'], ['gate431', 'gate243', 'gate223'], ['gate407', 'gate296', 'gate223']]","[['gate431', 'gate329', 'gate223'], ['gate431', 'gate223', 'gate143'], ['gate431', 'gate296', 'gate223'], ['gate407', 'gate223', 'gate174'], ['gate430', 'gate329', 'gate199'], ['gate431', 'gate223', 'gate174'], ['gate407', 'gate223', 'gate143'], ['gate407', 'gate279', 'gate223'], ['gate407', 'gate243', 'gate223'], ['gate431', 'gate279', 'gate223'], ['gate431', 'gate243', 'gate223'], ['gate407', 'gate296', 'gate223']]",12,0,0,1.0,1.0
c432,011100111000110011111000110011110001,"[['gate329', 'gate386', 'gate199', 'gate154'], ['gate370', 'gate319', 'gate386', 'gate223'], ['gate430', 'gate431', 'gate357', 'gate223'], ['gate430', 'gate431', 'gate282', 'gate223'], ['gate421', 'gate370', 'gate386', 'gate223'], ['gate421', 'gate357', 'gate386', 'gate223'], ['gate319', 'gate386', 'gate223', 'gate260'], ['gate430', 'gate431', 'gate223', 'gate260'], ['gate319', 'gate282', 'gate386', 'gate223'], ['gate319', 'gate357', 'gate386', 'gate223'], ['gate421', 'gate386', 'gate223', 'gate260'], ['gate421', 'gate282', 'gate386', 'gate223'], ['gate329', 'gate296', 'gate386', 'gate223'], ['gate329', 'gate386', 'gate224', 'gate199'], ['gate329', 'gate386', 'gate199', 'gate177'], ['gate329', 'gate357', 'gate386', 'gate199'], ['gate329', 'gate386', 'gate247', 'gate199'], ['gate370', 'gate329', 'gate386', 'gate199']]","[['gate329', 'gate386', 'gate199', 'gate154'], ['gate370', 'gate319', 'gate386', 'gate223'], ['gate430', 'gate431', 'gate357', 'gate223'], ['gate430', 'gate431', 'gate282', 'gate223'], ['gate421', 'gate370', 'gate386', 'gate223'], ['gate421', 'gate357', 'gate386', 'gate223'], ['gate319', 'gate386', 'gate223', 'gate260'], ['gate430', 'gate431', 'gate223', 'gate260'], ['gate319', 'gate282', 'gate386', 'gate223'], ['gate319', 'gate357', 'gate386', 'gate223'], ['gate421', 'gate386', 'gate223', 'gate260'], ['gate421', 'gate282', 'gate386', 'gate223'], ['gate329', 'gate296', 'gate386', 'gate223'], ['gate329', 'gate386', 'gate224', 'gate199'], ['gate329', 'gate386', 'gate199', 'gate177'], ['gate329', 'gate357', 'gate386', 'gate199'], ['gate329', 'gate386', 'gate247', 'gate199'], ['gate370', 'gate329', 'gate386', 'gate199']]",18,0,0,1.0,1.0
c432,101001010100010101100101001111111011,"[['gate430', 'gate370'], ['gate430', 'gate357']]","[['gate430', 'gate370'], ['gate430', 'gate357']]",2,0,0,1.0,1.0
c432,001001011000110111101011101101101101,"[['gate431', 'gate357']]","[['gate431', 'gate357']]",1,0,0,1.0,1.0
c432,101011010110000100001100010000010111,"[['gate432', 'gate421', 'gate230', 'gate199'], ['gate432', 'gate421', 'gate199', 'gate162'], ['gate421', 'gate381', 'gate199', 'gate162'], ['gate421', 'gate381', 'gate370', 'gate199'], ['gate432', 'gate421', 'gate296', 'gate223'], ['gate432', 'gate421', 'gate357', 'gate199'], ['gate421', 'gate381', 'gate357', 'gate199'], ['gate421', 'gate381', 'gate199', 'gate127'], ['gate421', 'gate381', 'gate230', 'gate199'], ['gate432', 'gate421', 'gate199', 'gate127'], ['gate432', 'gate421', 'gate370', 'gate199']]","[['gate432', 'gate421', 'gate296']]",0,11,1,0.0,0.0
c432,111101010110101100011100100010001110,"[['gate370'], ['gate357'], ['gate151'], ['gate251']]","[['gate431', 'gate370'], ['gate407', 'gate151'], ['gate407', 'gate357'], ['gate431', 'gate357'], ['gate431', 'gate251'], ['gate431', 'gate151'], ['gate407', 'gate370'], ['gate407', 'gate251']]",0,4,8,0.0,0.0
c432,001110001110111000011000110001011100,"[['gate329', 'gate223'], ['gate329', 'gate199']]","[['gate431', 'gate329', 'gate223'], ['gate422', 'gate285', 'gate199'], ['gate422', 'gate296', 'gate223'], ['gate431', 'gate329', 'gate199'], ['gate407', 'gate329', 'gate199']]",0,2,5,0.0,0.0
c432,000001111001000110111000111111011100,"[['gate407', 'gate199'], ['gate431', 'gate199']]","[['gate407', 'gate199'], ['gate431', 'gate199']]",2,0,0,1.0,1.0
c432,010011111110000100001010110001100100,"[['gate407', 'gate203'], ['gate407', 'gate296']]","[['gate407', 'gate203'], ['gate407', 'gate296']]",2,0,0,1.0,1.0
