System name,Input values,Output values,Diagnoses with prob
74182,"[1, 0, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 0, 0]","['gate58', 0.545]"
74182,"[0, 1, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 1, 0]","['gate70', 'gate67', 'gate58', 'gate53', 0.435]"
74182,"[0, 0, 0, 0, 1, 1, 0, 0, 1]","[0, 1, 1, 1, 1]","['gate67', 'gate58', 'gate53', 0.37]"
74182,"[1, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 1, 1]"
74182,"[1, 0, 0, 1, 1, 0, 0, 0, 1]","[0, 0, 1, 0, 1]","['gate67', 'gate53', 0.486]"
74182,"[0, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0]","['gate70', 'gate67', 'gate63', 'gate58', 0.371]"
74182,"[1, 1, 0, 1, 0, 1, 1, 1, 1]","[0, 1, 1, 0, 0]","['gate63', 'gate53', 0.335]"
74182,"[1, 1, 1, 1, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 1]","['gate67', 'gate63', 'gate53', 0.362]"
74182,"[1, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 1]","['gate70', 'gate67', 'gate63', 'gate53', 0.348]"
74182,"[1, 1, 1, 0, 0, 0, 1, 1, 0]","[1, 0, 1, 0, 0]","['gate67', 'gate58', 0.501]"
74182,"[1, 0, 0, 0, 0, 1, 1, 1, 0]","[1, 0, 1, 1, 0]","['gate67', 0.435]"
74182,"[0, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 1, 1, 1]","['gate58', 'gate53', 0.41]"
74182,"[1, 1, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 0, 1, 0]","['gate70', 'gate63', 'gate58', 'gate53', 0.354]","['gate67', 'gate58', 'gate49', 'gate53', 0.354]"
74182,"[0, 1, 1, 1, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0]","['gate70', 'gate63', 'gate58', 0.36]"
74182,"[1, 0, 1, 1, 1, 1, 1, 0, 0]","[0, 1, 0, 0, 0]","['gate70', 'gate58', 'gate53', 0.34]"
74182,"[0, 1, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 1, 0, 1]","['gate67', 'gate53', 0.359]"
74182,"[0, 0, 0, 0, 1, 0, 1, 1, 1]","[0, 0, 1, 0, 0]","['gate67', 'gate53', 0.484]"
74182,"[1, 1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 1]","['gate63', 'gate58', 0.402]"
74182,"[1, 0, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 0]","['gate53', 0.422]"
74182,"[1, 0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 1]","['gate67', 'gate63', 'gate58', 0.415]"
74182,"[0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0]","['gate70', 'gate67', 'gate63', 'gate53', 0.302]","['gate67', 'gate49', 'gate53', 'gate63', 0.302]"
74182,"[0, 0, 1, 0, 0, 1, 1, 1, 0]","[1, 1, 0, 1, 1]","['gate70', 'gate67', 'gate63', 'gate58', 0.431]"
74182,"[0, 1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 0]","['gate70', 'gate67', 'gate58', 0.332]"
74182,"[0, 0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1]","['gate70', 'gate63', 'gate58', 0.377]"
74182,"[1, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 1, 1, 1, 0]","['gate67', 'gate58', 'gate53', 0.461]"
74182,"[0, 0, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1]","['gate67', 'gate63', 0.483]"
74182,"[1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 1]","['gate53', 0.579]"
74182,"[1, 0, 0, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 1, 0]","['gate67', 'gate63', 'gate58', 'gate53', 0.381]"
74182,"[1, 0, 1, 1, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 0]","['gate70', 'gate63', 'gate53', 0.406]","['gate49', 'gate53', 'gate63', 0.406]"
74182,"[0, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0]","['gate70', 'gate67', 'gate58', 'gate53', 0.393]"
